,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,Mark Diehl is back with a suitably savage Saturday grid.,"SATURDAY PUZZLE — Mark Diehl is a weekend fixture with a consistent style: open grids with low word counts, both traits that are easily recognizable and intimidating. These puzzles tend to be more difficult to solve because there are fewer “bits of tape” holding them together, meaning short fill that tends to be guessable. They are also quite intricate feats of construction that require a deft touch to keep the sparkle alive and the clunkers away.",Smuggled Weaponry,"Crossword Puzzles;Diehl, Mark (Crossword Constructor)",2020-02-01,article,Crosswords & Games,News
0,Republican legislators abdicated their duty by refusing to seek the truth.,"Alas, no one ever lost money betting on the cynicism of today’s congressional Republicans. On Friday evening, Republican senators voted in near lock step to block testimony from any new witnesses or the production of any new documents, a vote that was tantamount to an acquittal of the impeachment charges against President Trump. The move can only embolden the president to cheat in the 2020 election.",A Dishonorable Senate,"Trump, Donald J;Impeachment;Senate;Republican Party;Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;McConnell, Mitch;Murkowski, Lisa;Presidential Election of 2020;United States Politics and Government",2020-02-01,article,Opinion,Editorial
0,Party leaders agreed on a schedule that would end the trial on Wednesday.,"Read our full story on the day, some key takeaways, and an analysis of how Mr. Trump’s control of Senate Republicans is nearly complete.",Impeachment Briefing: Senate Votes to Block Witnesses,Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry,2020-02-01,article,U.S.,News
0,She became a world-renowned author writing about “nice people whose lives are invaded.”,"Mary Higgins Clark, a fixture on best-seller lists for decades whose more than 50 novels earned her the sobriquet Queen of Suspense, died on Friday in Naples, Fla. She was 92.","Mary Higgins Clark, Best-Selling Queen of Suspense, Dies at 92","Clark, Mary Higgins;Deaths (Obituaries);Writing and Writers;Books and Literature;Clark, Carol Higgins",2020-02-01,article,Books,Obituary (Obit)
0,"“It’s just not right to just blanket ban a group of people,” said one college professor who has lived in the U.S. for about 20 years.","The Trump administration’s expansion of the nation’s contentious travel ban on Friday to include Nigeria, Africa’s most populous nation, and several other countries deeply rattled immigrants, leaving some Nigerians in New York worried that it would break family ties and have a negative effect on both countries.",Nigerians in New York Worry Expanded Travel Ban Will Hurt Family Ties,"Immigration and Emigration;NIGERIAN-AMERICANS;Executive Orders and Memorandums;Refugees and Displaced Persons;Trump, Donald J;Visas;United States Politics and Government",2020-02-01,article,U.S.,News
0,"On Monday, Democrats will make their choice for the Democratic presidential nominees at more than 1,600 precincts across Iowa. Here is how that will play out in one middle school gym.","On Monday, Democrats will make their choice for the Democratic presidential nominees at more than 1,600 precincts across Iowa. Here is how that will play out in one middle school gym.",How the Iowa Caucuses Work,Presidential Election of 2020;Primaries and Caucuses;Iowa,2020-02-01,multimedia,U.S.,Interactive Feature
0,"Corrections that appeared in print on Saturday, Feb. 1, 2020.","An article on Thursday about Kryptos, a courtyard sculpture  at C.I.A.  headquarters, misstated the decryption at the end of Passage Two. The decryption of those letters is “XLAYERTWO,” not “LEVELTWO.”","Corrections: Feb. 1, 2020",,2020-02-01,article,Corrections,Correction
0,"Quotation of the Day for Saturday, February 1, 2020.","“The irony is that Brexit was all about taking back control, but we’ve never been so out of control. No one even knows what the reality of Brexit will look like.”","Quotation of the Day: With the Exit Finally Official, Many Britons Feel the Need for a Period of Recovery",,2020-02-01,article,Today’s Paper,Quote
0,"Although there are few Latinos playing in the N.F.L., organizers have sought to capitalize on the region’s Latino vibe.","There are few Latino players, and viewership among Latinos, while rising, pales in comparison with that of other groups.",A Super Bowl With a Latino Flair in Miami,"Football;Hispanic-Americans;Super Bowl;Lopez, Jennifer;Shakira;Kansas City Chiefs;San Francisco 49ers;Miami (Fla)",2020-02-01,article,Sports,News
0,"Republicans voted almost unanimously against hearing new evidence in the impeachment trial, some saying they wanted to leave President Trump’s political future in the hands of the electorate.",Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via Spotify | Via Stitcher,No Witnesses,Impeachment;United States Politics and Government;Senate;Republican Party;Democratic Party;Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry,2020-02-01,article,Podcasts,News
0,"As the first nominating contests approached, Democratic presidential candidates spent millions on ads and staff in the fourth quarter of 2019.","As the first nominating contests approached, Democratic presidential candidates spent millions on ads and staff in the fourth quarter of 2019.",2020 Democrats Went on a Spending Spree in the Final Months of 2019,,2020-02-01,multimedia,U.S.,Interactive Feature
0,A new Austin City Limits concert is on PBS. And a Rob Reiner classic comes to Hulu.,"AUSTIN CITY LIMITS: BILLIE EILISH 11 p.m. on PBS. The 18-year-old pop singer Billie Eilish, who took home five trophies from last week’s Grammy Awards, including for best new artist, is featured in this hourlong concert. Her set list is largely made up of songs from her debut album, “When We All Fall Asleep, Where Do We Go?” (which won album of the year), including the dark, assertive pop hits “Bad Guy” and “You Should See Me In a Crown.” Popular singles like “Ocean Eyes” are featured as well. Though she is a young artist, Eilish has been redefining the pop music genre for years, Jon Pareles wrote for The New York Times, saying that “she’s sullen, depressive, death-haunted, sly, analytical and confrontational, all without raising her voice.”",What’s on TV Saturday: Billie Eilish and ‘When Harry Met Sally’,Television;Movies,2020-02-01,article,Arts,News
0,Sowers needed an assist to get her foot in the door. Then she burst through to become the first woman to coach in the N.F.L.’s championship game.,"MIAMI — Katie Sowers did not come to the Super Bowl to be a token for the N.F.L., for the San Francisco 49ers, or for the news media. She came to coach.","Katie Sowers Seized Her Chances, and Now She’s Coaching in the Super Bowl","Sowers, Katie;Football;Women and Girls;Coaches and Managers;National Football League;San Francisco 49ers;Super Bowl",2020-02-01,article,Sports,News
0,"A relatively new statistic aims to quantify the likelihood of election to the Pro Football Hall of Fame. Alan Faneca should be excited, while Isaac Bruce’s wait may continue.","Isaac Bruce was a central cog in the St. Louis Rams’ “Greatest Show on Turf” offense. For 16 seasons, Bruce was a consistent vertical threat at wide receiver, and he ranks in the N.F.L.’s top 15 for career receptions (13th), receiving yards (fifth) and touchdown catches (12th). He was the leading receiver in a Super Bowl victory, and his No. 80 jersey was retired by the Rams.",Trying to Find the Signal in the Noise of Hall of Fame Voting,"Football;Pro Football Hall of Fame;National Football League;Bruce, Isaac;Holt, Torry;Wayne, Reggie;Faneca, Alan;Hutchinson, Steve (1977- )",2020-02-01,article,Sports,News
0,"Consumer confidence has rebounded since recession warnings in the summer, particularly among voters who don’t lean toward either major party.","Americans are feeling better about the economy, a trend that, if it continues, could bolster President Trump’s prospects for re-election in November.","Independent Voters See Economy Improving, a Potential Boon to Trump","United States Economy;Presidential Election of 2020;Income Inequality;Polls and Public Opinion;Voting and Voters;Trump, Donald J;Democratic Party;Republican Party",2020-02-01,article,Business Day,News
0,"For decades, the Little Shell tribe had no legal status. That changed in December, when Congress granted recognition to the tribe’s 5,300 members.","GREAT FALLS, Mont. — More than 125 years ago a band of Chippewa Indians in North Dakota, led by Chief Little Shell, claimed some 10 million acres as territory.","125 Years Later, Native American Tribe in Montana Gets Federal Recognition",Native Americans;Little Shell Tribe of Chippewa Indians;Great Falls (Mont),2020-02-01,article,U.S.,News
0,"For many, it was an awkward and wrenching week of farewells. But most are racing to claim different passports, so they might keep lucrative jobs.","BRUSSELS — His 13th-floor office with its panoramic views was testament to the high status Claude Moraes had attained as a senior member of the European Parliament. But on a recent morning, it was empty, save his suitcase, a laptop and a phone on his bare desk.","With Brexit Official, Britons Start a ‘Brexodus’ From Brussels",Great Britain Withdrawal from EU (Brexit);Great Britain;Passports;Legislatures and Parliaments;European Union;Brussels (Belgium),2020-02-01,article,World,News
0,"Philip Jacobson, who works for the environmental news organization Mongabay, was put on a plane to New York.",BANGKOK — An American journalist who was jailed in Indonesia for allegedly violating the terms of his visa has been deported and was expected to arrive in New York on Saturday.,Indonesia Deports U.S. Journalist Jailed Over Visa Issue,"Indonesia;Jacobson, Philip (Journalist);Immigration Detention;Mongabay.com",2020-02-01,article,World,News
0,P. Carl’s memoir takes readers on the most personal journey there is.,BECOMING A MANThe Story of a TransitionBy P. Carl,"After Living as a Woman for Decades, He Staged His Own Gender Reveal","Books and Literature;Conley, Garrard;BECOMING A MAN: HALF A LIFE STORY (BOOK);Transgender and Transsexuals",2020-02-01,article,Books,Review
0,"“A Woman Like Her,” by Sanam Maher, investigates the killing of a 26-year-old social-media celebrity by her brother, and a culture in which independent, outspoken women are not easily tolerated.",A WOMAN LIKE HER The Story Behind the Honor Killing of a Social Media Star By Sanam Maher,Probing the Murder of a Pakistani Internet Sensation,"Books and Literature;A Woman Like Her: The Story Behind the Honor Killing of a Social Media Star (Book);Maher, Sanam;Baloch, Qandeel;Honor Killings;Pakistan;Women and Girls;Social Media",2020-02-01,article,Books,Review
0,"It’s all Iowa, all the time. You may not have been there, but we were. Here’s a rundown of what happened.","DES MOINES — Two days to go, people! Two days until the day we’ve been anticipating for more than a year. We’re in the homestretch. It’s almost ov —","Iowa, Iowa, Iowa: This Week in the 2020 Race","Presidential Election of 2020;Iowa;Primaries and Caucuses;Democratic Party;Biden, Joseph R Jr;Sanders, Bernard;Warren, Elizabeth;Buttigieg, Pete (1982- );Klobuchar, Amy",2020-02-01,article,U.S.,News
0,"Chris Voss details how empathy, bargaining and other tactics can be applied to landing travel perks, avoiding travel penalties and more.","When Chris Voss showed up at his hotel in Los Angeles recently before the official check-in time, the clerk informed him there would be an early check-in fee. Minutes later, he left the reception desk with the fee waived and a key to an upgraded room.",A Former F.B.I. Negotiator and His Tips for Travel,"Travel and Vacations;AIRLINES AND AIRPLANES;Hotels and Travel Lodgings;Voss, Chris;Books and Literature;Never Split the Difference: Negotiating As If Your Life Depended On It (Book)",2020-02-01,article,Travel,News
0,"Led by the Washington bureau, dozens of reporters, editors and other staffers are collaborating around the clock.","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",Kicked Up to ‘Hyperspeed’: How The Times Covers Impeachment,"Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;New York Times;Bumiller, Elisabeth;Washington (DC)",2020-02-01,article,Reader Center,News
0,"Dominic Thiem looks to unseat Novak Djokovic, and two Australian wild cards look to cap a Cinderella story.","Novak Djokovic, the defending champion, is the most decorated singles player in the history of the Australian Open. With seven titles in Melbourne, beginning in 2008, Djokovic is at home on the hardcourts Down Under. The world No. 2, he has galloped toward his eighth Australian Open title, and looks in excellent form. He skated past Roger Federer in the semifinal, winning in straight sets, on his quest to match Federer’s record of 20 Grand Slam titles.",Australian Open: Matches to Watch on Saturday Night (Into Sunday),"Tennis;Australian Open (Tennis);Djokovic, Novak;Thiem, Dominic",2020-02-01,article,Sports,News
0,The smoldering crater left by the apocalyptic space rock became a nice home for blue-green algae within years of the impact.,"The asteroid moved 24 times faster than a rifle bullet as it struck Earth some 66 million years ago. Its supersonic shock wave flattened trees across North and South America, and its heat wave sparked incomprehensibly large forest fires.",Asteroid That Killed the Dinosaurs Was Great for Bacteria,your-feed-science,2020-02-01,article,Science,News
0,"Writing “The Girl With the Louding Voice,” about a 14-year-old employed as a housemaid, challenged how the novelist viewed a common practice in her native Nigeria.","The inspiration for Abi Daré’s first book struck when one of her daughters, then 8, didn’t feel like unloading the dishwasher.","For Her Debut, Abi Daré Confronts ‘Dreams and Intelligence That We Kill’","Books and Literature;The Girl with the Louding Voice (Book);Dare, Abi;Women and Girls;Writing and Writers;Lagos (Nigeria)",2020-02-01,article,Books,News
0,"She is a forceful surrogate for Joe Biden’s campaign, in part because voters like that she has retained her own professional identity: “I admire how she’s always worked.”","CENTERVILLE, Iowa — Jill Biden was torn.",Why Jill Biden Is Taking Time Off to Help Her Husband Get a Job,"Biden, Joseph R Jr;Biden, Jill Tracy Jacobs;Democratic Party;Presidential Election of 2020;Biden, Hunter;Delaware;United States Politics and Government;Iowa;Primaries and Caucuses",2020-02-01,article,U.S.,News
0,"At Moda Operandi, the luxury runway website, cargo pants won’t do, unless they’re fashion approved.","Barneys New York and Opening Ceremony may be closing, but fashion e-tailers are doing just fine. Last fall, Moda Operandi, the luxury site where customers can order clothes directly off the runways of fashion week, opened a 30,000-square-foot office in Industry City in Brooklyn. ",When Dressing for Work is Part of the Job,Fashion and Apparel;Moda Operandi,2020-02-01,article,Style,News
0,"With stackable plastic panels, a company called Glice wants to be rink-builder to a warming world.","It was a charming winter tableau, suitable for a postcard.","On Roofs or in Basements, a New Way to Ice Skate","Ice;Ice Skating;Hockey, Ice;Glice LLC",2020-02-01,article,Business Day,News
0,"Why are Roc Nation and the N.F.L. doing business this Super Bowl weekend? Well, social justice is expensive.","A few years ago, the National Football League approached Jay-Z about performing at the Super Bowl halftime show. To perform “Run This Town,” he was asked if he would bring Rihanna and Kanye West, who appear on the track, along with him.",Jay-Z Takes On the Super Bowl,"Football;Super Bowl;Rap and Hip-Hop;Black People;Blacks;Goodell, Roger;Jay-Z;Kaepernick, Colin;Kraft, Robert K;Fanatics Inc;National Football League;Roc Nation;Roc Nation Sports;your-feed-longreads",2020-02-01,article,Style,News
0,"As if the caucusing wasn’t confusing enough, officials will release raw vote totals that could allow candidates to spin the results.","DES MOINES — Once upon a time, the winner of the Iowa caucuses was obvious to everyone.",How Will the Winner of the Iowa Caucuses Be Chosen? Here’s What You Should Know,Presidential Election of 2020;Primaries and Caucuses;News and News Media;Iowa,2020-02-01,article,U.S.,News
0,"In traffic-clogged cities around the world, the skies are abuzz with helicopters.","Private jets are the ultimate symbol of our new Gilded Age: Ever more popular with the very wealthy, they have induced a sort of hand-wringing among more progressive-minded billionaires.","Somewhere Between a Shared Cab and a Private Jet, It’s the Commuter Helicopter","Helicopters;Commuting;Aviation Accidents, Safety and Disasters;High Net Worth Individuals;AIRLINES AND AIRPLANES;Blade Inc;Bryant, Kobe;Hamptons (NY);California",2020-02-01,article,Style,News
0,"American sanctions, intended to oust an authoritarian president, forced changes that have eased tensions and improved life — for some. Others see a more unequal country that has turned away from its socialist-inspired revolution.","CARACAS, Venezuela — Swaying to the D.J. and sipping cocktails on the open terrace of a mountain side bar, a party of private-school teenagers in Prada sneakers and Chanel bags looked down over the shantytowns of Venezuela’s capital, Caracas, spread over the valley below.",Venezuela’s Capital Is Booming. Is This the End of the Revolution?,"Maduro, Nicolas;Venezuela;Caracas (Venezuela);Economic Conditions and Trends;Embargoes and Sanctions;Income Inequality;Politics and Government;Regulation and Deregulation of Industry;Capitalism (Theory and Philosophy);Nationalization of Industry",2020-02-01,article,World,News
0,"In the aftermath of hurricanes Irma and Maria, many hoteliers in the Caribbean have regrouped and rebuilt — and are ushering in a new age of hospitality.","When the monstrous hurricanes Irma and Maria tore through the Caribbean in 2017, the damage was devastating. Some islands are still recovering. Others, like Puerto Rico, are reeling again from recent disasters.",5 New Standout Resorts in the Caribbean,Travel and Vacations;Hotels and Travel Lodgings;Caribbean Area;Islands;Virgin Gorda (British Virgin Islands);St Lucia;Mexico;Bequia (Grenadine Islands);Dominica,2020-02-01,article,Travel,News
0,"Kenin, an American in her first Grand Slam final, became the tournament’s youngest singles champion since Maria Sharapova in 2008.","MELBOURNE, Australia — Sofia Kenin became the youngest Australian Open champion in 12 years on Saturday night, beating Garbiñe Muguruza 4-6, 6-2, 6-2 to claim her first Grand Slam title.",Australian Open: Sofia Kenin Defeats Garbiñe Muguruza for Her First Major Title,"Australian Open (Tennis);Tennis;Kenin, Sofia (1998- );Muguruza, Garbine;Age, Chronological;Records and Achievements",2020-02-01,article,Sports,News
0,"Hours after the morning wedding of Lauren Schneider and Lawrence Moss, the couple found themselves on very shaky ground as a 7.7 magnitude earthquake hit Jamaica.","Just hours after Lauren Schneider and Lawrence Moss were married on Jan. 28 at Sandals South Coast, a resort in Whitehouse, Jamaica, they received phone calls from many friends and family who couldn’t attend.",A Wedding Day That Left Them Shook,Weddings and Engagements,2020-02-01,article,Fashion & Style,News
0,"Monique Proctor, who changed her name to DJ Smiles Davis 11 years ago, talks about playlists, fees and her favorite wedding moments.",Monique Proctor became known as DJ Smiles Davis 11 years ago.,Questions for a Wedding D.J.,Music;Weddings and Engagements;Disc Jockeys,2020-02-01,article,Fashion & Style,News
0,"A KFC ad in Australia that infuriated women’s groups showed the power of the #MeToo movement, even as it called back to the many sexist ads of the past.",The commercial doesn’t have much to do with chicken.,"In a Long History of Sexist Ads and Outrage, It’s the Apology That’s New","ADVERTISING AND MARKETING;#MeToo Movement;Women and Girls;Discrimination;Social Media;Two Thousands (Decade);Women's Rights;Davis, Geena, Institute on Gender in Media;Kentucky Fried Chicken;Online Advertising",2020-02-01,article,Business Day,News
0,"The lieutenant governor of Pennsylvania, John Fetterman, said the punishment was overly harsh and offered to personally repay the grocery store.","As lieutenant governor of Pennsylvania, John Fetterman is a very busy man. But he was prepared to drop everything on Friday and drive to a Weis Markets in Lebanon, Pa., to hand deliver a personal check for $109.63, the exact sum of groceries that a woman with advanced cancer was recently convicted of stealing.",A Cancer Patient Stole Groceries Worth $109.63. She Was Sentenced to 10 Months.,"Criminal Justice;Fetterman, John (1969- );Pennsylvania;Politics and Government;Amnesties, Commutations and Pardons;Sentences (Criminal);Shoplifting and Employee Theft (Retail);Weis Markets Inc",2020-02-01,article,U.S.,News
0,Joe Biden has a hold on the Democratic establishment. Much of the far left supports Bernie Sanders. Mayors are backing Pete Buttigieg and Mike Bloomberg. And then there are the celebrities.,John Kerry is for Joe Biden. Alexandria Ocasio-Cortez is stumping for Bernie Sanders. And Julián Castro is for Elizabeth Warren. But whom does George Takei support? (Hint: A certain former mayor from Indiana …),A 2020 Democratic Primary Endorsement Digest,"Presidential Election of 2020;Endorsements;Biden, Joseph R Jr;Bloomberg, Michael R;Sanders, Bernard;Warren, Elizabeth;Buttigieg, Pete (1982- );Klobuchar, Amy;Yang, Andrew (1975- );Steyer, Thomas F;Democratic Party",2020-02-01,article,U.S.,News
0,"With the Senate voting to bar any new witness testimony, the only outstanding question is when President Trump will be acquitted.","Senator Lamar Alexander really knows how to drain the suspense from an impeachment fight, doesn’t he?",Day 10 of Trump’s Trial: The Anticlimax,"Trump, Donald J;Impeachment;Senate;Republican Party;Democratic Party;House of Representatives;ALEXANDER, LAMAR;Bolton, John R;Witnesses;Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry;United States Politics and Government",2020-02-01,article,Opinion,Op-Ed
0,"The Lakers returned to the court for the first time since the death of Kobe Bryant and eight others in a helicopter crash, playing a game that was more reflection than sport.",LOS ANGELES — Nothing about the game was normal. Not the tributes. Not the chants. Not the emotion. Not the reflection.,The Lakers Remember Kobe Bryant With a Game ‘Straight From the Heart’,"Basketball;Los Angeles Lakers;Bryant, Kobe;Bryant, Gianna (2006-20);Davis, Anthony (1993- );James, LeBron;Lillard, Damian;Staples Center;Los Angeles (Calif)",2020-02-01,article,Sports,News
0,The growing uncertainty over the safety of visiting or leaving China is bedeviling companies around the world.,Alex Richter had a choice: Stay or go.,Coronavirus Thwarts Business Travelers Who ‘Need to Be in the Room’,Coronavirus (2019-nCoV);Business Travel;China;Epidemics;AIRLINES AND AIRPLANES;Travel Warnings,2020-02-01,article,Business Day,News
0,"Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for February.","For more recommendations on what to stream, sign up for our twice-weekly Watching newsletter here.","The Best Movies and TV Shows Coming to Netflix, Amazon and More in February",Television;Movies;Hulu.com;Apple TV Plus;Home Box Office;Netflix Inc;To All the Boys: PS I Still Love You (Movie);Hunters (TV Program);Gente-fied (TV Program);Horse Girl (Movie);The Pharmacist (TV Program);Visible: Out on Television (TV Program),2020-02-01,article,Arts,News
0,A conversation about how its meaning has evolved over the last two decades.,"For many years — decades even — the Super Bowl halftime show was an uncontroversial distraction, a way for the N.F.L. to retain eyeballs and collect advertising dollars in between the two halves of the most watched game of the year.",When Did the Super Bowl Halftime Show Become Political?,Music;National Football League;Roc Nation;Super Bowl,2020-02-01,article,Arts,News
0,"Like banks, co-ops set rules about how much shareholders can borrow. But there are ways to find the equity you seek in your home.","Q: I own a co-op in Brooklyn that’s worth about $450,000. I would like to take some equity out of the apartment for other uses, but my options seem limited. Reverse mortgages are not allowed in co-ops. I am a senior and worry that I would not qualify for a HELOC because of my age. And I do not want a mortgage. What are my options?",How to Take Equity Out of a Co-op,Real Estate and Housing (Residential);Cooperatives,2020-02-01,article,Real Estate,News
0,"Alison Roman’s new pasta, candied oranges, and more recipes.","The week’s most popular dishes include Alison Roman’s caramelized shallot pasta (above), Gabrielle Hamilton’s cold candied oranges and J. Kenji López-Alt’s moo shu mushrooms. Find more recipes in the collection below.",Caramelized! Shallot! Pasta!,,2020-02-01,article,Admin,News
